Age	L	M	S	P01	P1	P3	P5	P10	P15	P25	P50	P75	P85	P90	P95	P97	P99	P999
215	-0.0598	8.9397	0.18705	5.064	5.818	6.311	6.59	7.046	7.372	7.884	8.94	10.147	10.864	11.381	12.195	12.757	13.893	16.099
216	-0.0602	8.9326	0.18716	5.059	5.812	6.305	6.584	7.04	7.366	7.877	8.933	10.139	10.857	11.374	12.188	12.75	13.886	16.093
217	-0.0606	8.9255	0.18726	5.054	5.806	6.299	6.578	7.033	7.359	7.87	8.926	10.132	10.85	11.366	12.181	12.742	13.879	16.086
218	-0.0609	8.9185	0.18737	5.048	5.8	6.293	6.572	7.027	7.353	7.864	8.919	10.125	10.843	11.359	12.173	12.735	13.872	16.08
219	-0.0613	8.9114	0.18747	5.043	5.795	6.287	6.566	7.02	7.346	7.857	8.911	10.118	10.835	11.352	12.166	12.728	13.865	16.074
220	-0.0617	8.9044	0.18757	5.038	5.789	6.281	6.56	7.014	7.34	7.85	8.904	10.11	10.828	11.344	12.159	12.721	13.858	16.068
221	-0.0621	8.8973	0.18767	5.033	5.783	6.275	6.553	7.008	7.333	7.843	8.897	10.103	10.82	11.337	12.151	12.713	13.851	16.061
222	-0.0625	8.8903	0.18777	5.028	5.778	6.269	6.547	7.001	7.327	7.837	8.89	10.096	10.813	11.33	12.144	12.706	13.844	16.055
223	-0.0628	8.8833	0.18787	5.023	5.772	6.263	6.541	6.995	7.32	7.83	8.883	10.089	10.806	11.322	12.137	12.699	13.837	16.048
224	-0.0632	8.8763	0.18797	5.017	5.766	6.257	6.535	6.989	7.314	7.823	8.876	10.081	10.799	11.315	12.129	12.691	13.83	16.042
225	-0.0636	8.8694	0.18807	5.012	5.761	6.251	6.529	6.983	7.307	7.817	8.869	10.074	10.791	11.308	12.122	12.684	13.823	16.035
226	-0.0639	8.8624	0.18816	5.007	5.755	6.246	6.523	6.976	7.301	7.81	8.862	10.067	10.784	11.3	12.115	12.677	13.815	16.028
227	-0.0643	8.8555	0.18826	5.002	5.75	6.24	6.517	6.97	7.295	7.804	8.856	10.06	10.777	11.293	12.107	12.67	13.808	16.022
228	-0.0647	8.8485	0.18835	4.997	5.744	6.234	6.511	6.964	7.288	7.797	8.849	10.052	10.769	11.286	12.1	12.662	13.801	16.015
229	-0.0651	8.8416	0.18844	4.992	5.739	6.228	6.505	6.958	7.282	7.79	8.842	10.045	10.762	11.278	12.093	12.655	13.794	16.008
230	-0.0654	8.8347	0.18853	4.987	5.733	6.222	6.499	6.952	7.276	7.784	8.835	10.038	10.755	11.271	12.085	12.647	13.786	16.001
231	-0.0658	8.8279	0.18863	4.982	5.728	6.217	6.493	6.945	7.269	7.777	8.828	10.031	10.748	11.264	12.078	12.64	13.78	15.995
232	-0.0662	8.821	0.18871	4.978	5.722	6.211	6.488	6.939	7.263	7.771	8.821	10.024	10.74	11.256	12.071	12.633	13.772	15.988
233	-0.0665	8.8142	0.1888	4.973	5.717	6.205	6.482	6.933	7.257	7.764	8.814	10.017	10.733	11.249	12.063	12.625	13.765	15.981
234	-0.0669	8.8073	0.18889	4.968	5.712	6.2	6.476	6.927	7.251	7.758	8.807	10.009	10.726	11.242	12.056	12.618	13.758	15.975
235	-0.0673	8.8005	0.18898	4.963	5.706	6.194	6.47	6.921	7.244	7.752	8.801	10.002	10.719	11.235	12.049	12.611	13.751	15.968
236	-0.0676	8.7938	0.18906	4.958	5.701	6.188	6.464	6.915	7.238	7.745	8.794	9.995	10.711	11.227	12.041	12.603	13.743	15.961
237	-0.068	8.787	0.18915	4.953	5.696	6.183	6.458	6.909	7.232	7.739	8.787	9.988	10.704	11.22	12.034	12.596	13.736	15.954
238	-0.0683	8.7802	0.18923	4.949	5.69	6.177	6.453	6.903	7.226	7.732	8.78	9.981	10.697	11.213	12.026	12.589	13.728	15.947
239	-0.0687	8.7735	0.18931	4.944	5.685	6.172	6.447	6.897	7.22	7.726	8.774	9.974	10.69	11.205	12.019	12.581	13.721	15.94
240	-0.069	8.7668	0.1894	4.939	5.68	6.166	6.441	6.891	7.214	7.72	8.767	9.967	10.683	11.198	12.012	12.574	13.714	15.933
241	-0.0694	8.7601	0.18948	4.935	5.675	6.161	6.436	6.885	7.208	7.713	8.76	9.96	10.675	11.191	12.005	12.567	13.707	15.926
242	-0.0698	8.7535	0.18956	4.93	5.67	6.155	6.43	6.88	7.202	7.707	8.754	9.953	10.668	11.184	11.997	12.56	13.7	15.92
243	-0.0701	8.7468	0.18964	4.925	5.664	6.15	6.425	6.874	7.196	7.701	8.747	9.946	10.661	11.177	11.99	12.552	13.692	15.912
244	-0.0705	8.7402	0.18972	4.921	5.659	6.144	6.419	6.868	7.19	7.695	8.74	9.939	10.654	11.169	11.983	12.545	13.685	15.906
245	-0.0708	8.7336	0.18979	4.916	5.654	6.139	6.413	6.862	7.184	7.689	8.734	9.932	10.647	11.162	11.975	12.537	13.677	15.898
246	-0.0712	8.727	0.18987	4.912	5.649	6.134	6.408	6.856	7.178	7.682	8.727	9.925	10.64	11.155	11.968	12.53	13.67	15.891
247	-0.0715	8.7204	0.18994	4.907	5.644	6.128	6.402	6.851	7.172	7.676	8.72	9.918	10.633	11.148	11.961	12.523	13.663	15.884
248	-0.0719	8.7139	0.19002	4.903	5.639	6.123	6.397	6.845	7.166	7.67	8.714	9.911	10.626	11.141	11.954	12.516	13.656	15.877
249	-0.0722	8.7074	0.19009	4.898	5.634	6.118	6.392	6.839	7.16	7.664	8.707	9.904	10.619	11.133	11.946	12.508	13.648	15.87
250	-0.0726	8.7009	0.19017	4.894	5.629	6.112	6.386	6.834	7.154	7.658	8.701	9.898	10.612	11.126	11.939	12.501	13.641	15.863
251	-0.0729	8.6944	0.19024	4.889	5.624	6.107	6.381	6.828	7.149	7.652	8.694	9.891	10.605	11.119	11.932	12.494	13.634	15.856
252	-0.0733	8.6879	0.19031	4.885	5.619	6.102	6.375	6.822	7.143	7.646	8.688	9.884	10.597	11.112	11.925	12.486	13.626	15.849
253	-0.0736	8.6815	0.19038	4.881	5.615	6.097	6.37	6.817	7.137	7.64	8.682	9.877	10.59	11.105	11.917	12.479	13.619	15.841
254	-0.0739	8.6751	0.19045	4.876	5.61	6.092	6.365	6.811	7.131	7.634	8.675	9.87	10.584	11.098	11.91	12.472	13.612	15.834
255	-0.0743	8.6687	0.19052	4.872	5.605	6.087	6.359	6.806	7.126	7.628	8.669	9.863	10.577	11.091	11.903	12.465	13.604	15.827
256	-0.0746	8.6623	0.19058	4.868	5.6	6.081	6.354	6.8	7.12	7.622	8.662	9.857	10.57	11.084	11.896	12.457	13.597	15.82
