Age	L	M	S	P01	P1	P3	P5	P10	P15	P25	P50	P75	P85	P90	P95	P97	P99	P999
197	0.0176	8.9969	0.19743	4.872	5.673	6.199	6.496	6.982	7.329	7.874	8.997	10.277	11.036	11.581	12.437	13.027	14.215	16.506
198	0.0165	8.9884	0.19756	4.866	5.667	6.192	6.489	6.974	7.322	7.866	8.988	10.268	11.027	11.572	12.429	13.018	14.208	16.5
199	0.0153	8.98	0.19769	4.861	5.66	6.185	6.482	6.967	7.314	7.858	8.98	10.259	11.018	11.564	12.421	13.011	14.201	16.495
200	0.0142	8.9715	0.19782	4.855	5.654	6.178	6.475	6.959	7.306	7.85	8.972	10.251	11.01	11.555	12.412	13.002	14.193	16.49
201	0.013	8.9631	0.19794	4.85	5.648	6.171	6.468	6.952	7.299	7.842	8.963	10.242	11.001	11.546	12.404	12.994	14.186	16.484
202	0.0119	8.9546	0.19807	4.845	5.641	6.165	6.461	6.944	7.291	7.834	8.955	10.233	10.992	11.538	12.396	12.986	14.178	16.478
203	0.0108	8.9462	0.19819	4.839	5.635	6.158	6.454	6.937	7.283	7.826	8.946	10.225	10.984	11.529	12.387	12.978	14.17	16.472
204	0.0097	8.9378	0.19831	4.834	5.629	6.151	6.447	6.93	7.276	7.818	8.938	10.216	10.975	11.52	12.379	12.969	14.163	16.466
205	0.0085	8.9293	0.19843	4.829	5.623	6.144	6.44	6.922	7.268	7.81	8.929	10.207	10.966	11.512	12.37	12.961	14.155	16.46
206	0.0074	8.921	0.19855	4.823	5.617	6.138	6.433	6.915	7.261	7.802	8.921	10.199	10.958	11.503	12.362	12.953	14.147	16.454
207	0.0063	8.9126	0.19866	4.818	5.61	6.131	6.426	6.908	7.253	7.794	8.913	10.19	10.949	11.494	12.353	12.944	14.139	16.448
208	0.0052	8.9042	0.19878	4.813	5.604	6.124	6.419	6.901	7.246	7.787	8.904	10.181	10.94	11.486	12.344	12.936	14.131	16.442
209	0.0041	8.8959	0.19889	4.808	5.598	6.118	6.412	6.893	7.238	7.779	8.896	10.173	10.931	11.477	12.336	12.928	14.123	16.435
210	0.003	8.8875	0.199	4.802	5.592	6.111	6.406	6.886	7.231	7.771	8.888	10.164	10.923	11.468	12.327	12.919	14.115	16.429
211	0.0019	8.8792	0.19911	4.797	5.586	6.105	6.399	6.879	7.223	7.763	8.879	10.155	10.914	11.46	12.319	12.911	14.108	16.422
212	0.0009	8.8709	0.19922	4.792	5.58	6.098	6.392	6.872	7.216	7.755	8.871	10.147	10.905	11.451	12.31	12.902	14.099	16.416
213	-0.0002	8.8626	0.19933	4.787	5.574	6.092	6.385	6.865	7.208	7.748	8.863	10.138	10.896	11.442	12.301	12.894	14.092	16.409
214	-0.0013	8.8543	0.19944	4.782	5.568	6.085	6.378	6.858	7.201	7.74	8.854	10.129	10.888	11.433	12.293	12.885	14.084	16.403
215	-0.0024	8.8461	0.19954	4.777	5.562	6.079	6.372	6.851	7.194	7.732	8.846	10.121	10.879	11.425	12.284	12.877	14.075	16.396
216	-0.0034	8.8379	0.19964	4.772	5.557	6.073	6.365	6.844	7.187	7.725	8.838	10.112	10.87	11.416	12.276	12.868	14.067	16.389
217	-0.0045	8.8297	0.19974	4.767	5.551	6.066	6.359	6.837	7.179	7.717	8.83	10.104	10.862	11.407	12.267	12.86	14.059	16.383
218	-0.0055	8.8215	0.19984	4.762	5.545	6.06	6.352	6.83	7.172	7.709	8.822	10.095	10.853	11.398	12.258	12.851	14.051	16.376
219	-0.0066	8.8134	0.19994	4.757	5.539	6.054	6.346	6.823	7.165	7.702	8.813	10.086	10.844	11.39	12.25	12.843	14.043	16.369
220	-0.0076	8.8052	0.20004	4.752	5.533	6.048	6.339	6.816	7.158	7.694	8.805	10.078	10.836	11.381	12.241	12.834	14.035	16.362
221	-0.0087	8.7971	0.20013	4.748	5.528	6.041	6.333	6.809	7.151	7.687	8.797	10.069	10.827	11.372	12.232	12.826	14.026	16.355
222	-0.0097	8.7891	0.20023	4.743	5.522	6.035	6.326	6.802	7.143	7.679	8.789	10.061	10.818	11.364	12.224	12.817	14.018	16.348
223	-0.0107	8.781	0.20032	4.738	5.516	6.029	6.32	6.795	7.136	7.672	8.781	10.052	10.81	11.355	12.215	12.809	14.01	16.341
224	-0.0117	8.773	0.20041	4.733	5.511	6.023	6.313	6.788	7.129	7.665	8.773	10.044	10.801	11.346	12.206	12.8	14.002	16.334
225	-0.0128	8.765	0.2005	4.729	5.505	6.017	6.307	6.782	7.122	7.657	8.765	10.035	10.792	11.338	12.198	12.791	13.994	16.327
226	-0.0138	8.757	0.20059	4.724	5.5	6.011	6.301	6.775	7.115	7.65	8.757	10.027	10.784	11.329	12.189	12.783	13.985	16.32
227	-0.0148	8.7491	0.20068	4.719	5.494	6.005	6.294	6.768	7.108	7.643	8.749	10.019	10.775	11.321	12.181	12.774	13.977	16.313
228	-0.0158	8.7412	0.20076	4.715	5.489	5.999	6.288	6.762	7.102	7.635	8.741	10.01	10.767	11.312	12.172	12.766	13.969	16.306
229	-0.0168	8.7333	0.20084	4.71	5.484	5.993	6.282	6.755	7.095	7.628	8.733	10.002	10.758	11.303	12.163	12.757	13.96	16.298
230	-0.0178	8.7255	0.20093	4.706	5.478	5.987	6.276	6.749	7.088	7.621	8.726	9.994	10.75	11.295	12.155	12.749	13.952	16.291
231	-0.0188	8.7177	0.20101	4.701	5.473	5.981	6.27	6.742	7.081	7.614	8.718	9.985	10.741	11.286	12.146	12.74	13.944	16.284
232	-0.0197	8.7099	0.20109	4.697	5.467	5.975	6.264	6.736	7.074	7.607	8.71	9.977	10.733	11.278	12.138	12.732	13.935	16.276
233	-0.0207	8.7022	0.20117	4.692	5.462	5.97	6.258	6.729	7.068	7.599	8.702	9.969	10.724	11.269	12.129	12.723	13.927	16.269
234	-0.0217	8.6944	0.20124	4.688	5.457	5.964	6.252	6.723	7.061	7.592	8.694	9.96	10.716	11.261	12.12	12.714	13.919	16.261
235	-0.0227	8.6868	0.20132	4.683	5.452	5.958	6.246	6.716	7.054	7.585	8.687	9.952	10.708	11.252	12.112	12.706	13.911	16.254
236	-0.0236	8.6791	0.2014	4.679	5.446	5.952	6.24	6.71	7.048	7.578	8.679	9.944	10.699	11.244	12.103	12.698	13.902	16.247
237	-0.0246	8.6715	0.20147	4.675	5.441	5.947	6.234	6.704	7.041	7.571	8.672	9.936	10.691	11.235	12.095	12.689	13.894	16.24
238	-0.0256	8.6639	0.20154	4.671	5.436	5.941	6.228	6.697	7.035	7.564	8.664	9.928	10.683	11.227	12.086	12.681	13.886	16.232
239	-0.0265	8.6564	0.20161	4.666	5.431	5.936	6.222	6.691	7.028	7.558	8.656	9.92	10.674	11.218	12.078	12.672	13.877	16.224
240	-0.0275	8.6489	0.20168	4.662	5.426	5.93	6.216	6.685	7.022	7.551	8.649	9.912	10.666	11.21	12.07	12.664	13.869	16.217
241	-0.0284	8.6414	0.20175	4.658	5.421	5.925	6.211	6.679	7.015	7.544	8.641	9.904	10.658	11.202	12.061	12.655	13.861	16.21
242	-0.0293	8.6339	0.20182	4.654	5.416	5.919	6.205	6.673	7.009	7.537	8.634	9.896	10.649	11.193	12.053	12.647	13.852	16.202
243	-0.0303	8.6265	0.20188	4.65	5.411	5.914	6.199	6.667	7.002	7.53	8.627	9.888	10.641	11.185	12.044	12.638	13.844	16.194
