Age	L	M	S	P01	P1	P3	P5	P10	P15	P25	P50	P75	P85	P90	P95	P97	P99	P999
208	-0.3877	7.0342	0.17283	4.329	4.841	5.179	5.371	5.688	5.916	6.276	7.034	7.925	8.469	8.867	9.507	9.957	10.89	12.797
209	-0.3884	7.0294	0.17285	4.326	4.838	5.176	5.368	5.684	5.912	6.272	7.029	7.92	8.464	8.862	9.501	9.951	10.884	12.791
210	-0.389	7.0247	0.17287	4.324	4.835	5.172	5.364	5.68	5.908	6.268	7.025	7.915	8.458	8.856	9.495	9.945	10.878	12.785
211	-0.3896	7.0201	0.17289	4.321	4.831	5.169	5.361	5.676	5.904	6.263	7.02	7.91	8.453	8.851	9.489	9.939	10.872	12.779
212	-0.3903	7.0154	0.17291	4.318	4.828	5.165	5.357	5.672	5.9	6.259	7.015	7.905	8.448	8.845	9.484	9.933	10.866	12.773
213	-0.3909	7.0107	0.17293	4.315	4.825	5.162	5.353	5.668	5.896	6.255	7.011	7.9	8.442	8.84	9.478	9.927	10.86	12.767
214	-0.3915	7.0061	0.17295	4.312	4.822	5.158	5.35	5.665	5.892	6.251	7.006	7.895	8.437	8.834	9.472	9.922	10.855	12.761
215	-0.3921	7.0014	0.17297	4.31	4.819	5.155	5.346	5.661	5.888	6.247	7.001	7.889	8.432	8.829	9.467	9.916	10.849	12.755
216	-0.3928	6.9968	0.17299	4.307	4.815	5.151	5.343	5.657	5.884	6.242	6.997	7.884	8.426	8.823	9.461	9.91	10.843	12.75
217	-0.3934	6.9922	0.17301	4.304	4.812	5.148	5.339	5.653	5.88	6.238	6.992	7.879	8.421	8.818	9.456	9.904	10.837	12.744
218	-0.394	6.9876	0.17303	4.301	4.809	5.145	5.336	5.649	5.876	6.234	6.988	7.874	8.416	8.813	9.45	9.899	10.831	12.738
219	-0.3947	6.983	0.17305	4.299	4.806	5.141	5.332	5.646	5.872	6.23	6.983	7.869	8.411	8.807	9.444	9.893	10.825	12.732
220	-0.3953	6.9785	0.17307	4.296	4.803	5.138	5.328	5.642	5.868	6.226	6.979	7.864	8.406	8.802	9.439	9.888	10.82	12.727
221	-0.3959	6.9739	0.17309	4.293	4.8	5.134	5.325	5.638	5.864	6.222	6.974	7.859	8.4	8.796	9.433	9.882	10.814	12.721
222	-0.3965	6.9694	0.17311	4.29	4.797	5.131	5.321	5.634	5.86	6.218	6.969	7.854	8.395	8.791	9.428	9.876	10.808	12.715
223	-0.3971	6.9649	0.17313	4.288	4.794	5.128	5.318	5.631	5.856	6.214	6.965	7.85	8.39	8.786	9.422	9.871	10.802	12.709
224	-0.3978	6.9604	0.17315	4.285	4.79	5.124	5.315	5.627	5.853	6.21	6.96	7.845	8.385	8.781	9.417	9.865	10.797	12.704
225	-0.3984	6.9559	0.17317	4.282	4.787	5.121	5.311	5.623	5.849	6.205	6.956	7.84	8.38	8.775	9.411	9.86	10.791	12.698
226	-0.399	6.9514	0.17319	4.28	4.784	5.118	5.308	5.62	5.845	6.201	6.951	7.835	8.375	8.77	9.406	9.854	10.785	12.692
227	-0.3996	6.9469	0.1732	4.277	4.781	5.114	5.304	5.616	5.841	6.197	6.947	7.83	8.369	8.765	9.4	9.848	10.779	12.686
228	-0.4002	6.9425	0.17322	4.274	4.778	5.111	5.301	5.612	5.837	6.193	6.943	7.825	8.364	8.76	9.395	9.843	10.774	12.681
229	-0.4009	6.9381	0.17324	4.272	4.775	5.108	5.297	5.609	5.834	6.189	6.938	7.82	8.359	8.754	9.39	9.837	10.768	12.675
230	-0.4015	6.9336	0.17326	4.269	4.772	5.105	5.294	5.605	5.83	6.185	6.934	7.815	8.354	8.749	9.384	9.832	10.762	12.669
231	-0.4021	6.9292	0.17328	4.266	4.769	5.101	5.29	5.602	5.826	6.181	6.929	7.81	8.349	8.744	9.379	9.826	10.757	12.664
232	-0.4027	6.9248	0.1733	4.264	4.766	5.098	5.287	5.598	5.822	6.177	6.925	7.806	8.344	8.739	9.374	9.821	10.751	12.658
233	-0.4033	6.9205	0.17332	4.261	4.763	5.095	5.284	5.594	5.819	6.173	6.921	7.801	8.339	8.734	9.368	9.816	10.746	12.653
234	-0.4039	6.9161	0.17334	4.259	4.76	5.092	5.28	5.591	5.815	6.169	6.916	7.796	8.334	8.729	9.363	9.81	10.74	12.648
235	-0.4045	6.9117	0.17336	4.256	4.757	5.088	5.277	5.587	5.811	6.165	6.912	7.791	8.329	8.723	9.358	9.805	10.735	12.642
236	-0.4051	6.9074	0.17338	4.253	4.754	5.085	5.274	5.584	5.807	6.162	6.907	7.787	8.324	8.718	9.352	9.799	10.729	12.637
237	-0.4058	6.9031	0.1734	4.251	4.751	5.082	5.27	5.58	5.804	6.158	6.903	7.782	8.319	8.713	9.347	9.794	10.724	12.631
238	-0.4064	6.8988	0.17341	4.248	4.748	5.079	5.267	5.577	5.8	6.154	6.899	7.777	8.314	8.708	9.342	9.789	10.718	12.626
239	-0.407	6.8945	0.17343	4.246	4.745	5.076	5.264	5.573	5.796	6.15	6.895	7.772	8.309	8.703	9.337	9.783	10.713	12.62
240	-0.4076	6.8902	0.17345	4.243	4.742	5.072	5.26	5.57	5.793	6.146	6.89	7.768	8.304	8.698	9.332	9.778	10.707	12.615
241	-0.4082	6.8859	0.17347	4.241	4.739	5.069	5.257	5.566	5.789	6.142	6.886	7.763	8.3	8.693	9.326	9.773	10.702	12.609
242	-0.4088	6.8817	0.17349	4.238	4.737	5.066	5.254	5.563	5.786	6.138	6.882	7.758	8.295	8.688	9.321	9.768	10.697	12.604
243	-0.4094	6.8774	0.17351	4.235	4.734	5.063	5.25	5.559	5.782	6.134	6.877	7.754	8.29	8.683	9.316	9.762	10.691	12.599
244	-0.41	6.8732	0.17353	4.233	4.731	5.06	5.247	5.556	5.778	6.131	6.873	7.749	8.285	8.678	9.311	9.757	10.686	12.594
245	-0.4106	6.869	0.17355	4.23	4.728	5.057	5.244	5.552	5.775	6.127	6.869	7.744	8.28	8.673	9.306	9.752	10.681	12.589
246	-0.4112	6.8648	0.17356	4.228	4.725	5.054	5.241	5.549	5.771	6.123	6.865	7.74	8.275	8.668	9.301	9.747	10.675	12.583
247	-0.4118	6.8606	0.17358	4.226	4.722	5.05	5.238	5.545	5.768	6.119	6.861	7.735	8.271	8.663	9.296	9.742	10.67	12.578
248	-0.4124	6.8564	0.1736	4.223	4.719	5.047	5.234	5.542	5.764	6.116	6.856	7.731	8.266	8.658	9.29	9.736	10.665	12.572
249	-0.413	6.8523	0.17362	4.221	4.716	5.044	5.231	5.538	5.76	6.112	6.852	7.726	8.261	8.654	9.286	9.731	10.66	12.567
250	-0.4136	6.8481	0.17364	4.218	4.713	5.041	5.228	5.535	5.757	6.108	6.848	7.722	8.256	8.649	9.28	9.726	10.654	12.562
251	-0.4142	6.844	0.17366	4.216	4.711	5.038	5.225	5.532	5.753	6.104	6.844	7.717	8.252	8.644	9.276	9.721	10.649	12.557
252	-0.4148	6.8399	0.17368	4.213	4.708	5.035	5.222	5.528	5.75	6.101	6.84	7.713	8.247	8.639	9.271	9.716	10.644	12.552
253	-0.4154	6.8358	0.1737	4.211	4.705	5.032	5.218	5.525	5.746	6.097	6.836	7.708	8.242	8.634	9.266	9.711	10.639	12.547
254	-0.416	6.8317	0.17371	4.208	4.702	5.029	5.215	5.522	5.743	6.093	6.832	7.704	8.238	8.629	9.261	9.706	10.634	12.542
255	-0.4166	6.8276	0.17373	4.206	4.699	5.026	5.212	5.518	5.739	6.089	6.828	7.699	8.233	8.625	9.256	9.701	10.628	12.537
256	-0.4172	6.8236	0.17375	4.203	4.697	5.023	5.209	5.515	5.736	6.086	6.824	7.695	8.228	8.62	9.251	9.696	10.623	12.532
257	-0.4177	6.8195	0.17377	4.201	4.694	5.02	5.206	5.512	5.732	6.082	6.82	7.69	8.224	8.615	9.246	9.691	10.618	12.527
258	-0.4183	6.8155	0.17379	4.199	4.691	5.017	5.203	5.508	5.729	6.079	6.816	7.686	8.219	8.611	9.241	9.686	10.613	12.522
259	-0.4189	6.8115	0.17381	4.196	4.688	5.014	5.2	5.505	5.726	6.075	6.812	7.682	8.215	8.606	9.236	9.681	10.608	12.517
260	-0.4195	6.8074	0.17382	4.194	4.686	5.011	5.197	5.502	5.722	6.071	6.807	7.677	8.21	8.601	9.231	9.676	10.603	12.511
261	-0.4201	6.8034	0.17384	4.191	4.683	5.008	5.193	5.498	5.719	6.068	6.803	7.673	8.205	8.596	9.226	9.671	10.598	12.507
262	-0.4207	6.7995	0.17386	4.189	4.68	5.005	5.19	5.495	5.715	6.064	6.8	7.668	8.201	8.592	9.222	9.666	10.593	12.502
263	-0.4213	6.7955	0.17388	4.187	4.677	5.002	5.187	5.492	5.712	6.06	6.796	7.664	8.196	8.587	9.217	9.661	10.588	12.497
264	-0.4219	6.7915	0.1739	4.184	4.675	4.999	5.184	5.489	5.709	6.057	6.792	7.66	8.192	8.582	9.212	9.656	10.583	12.492
265	-0.4224	6.7876	0.17392	4.182	4.672	4.996	5.181	5.485	5.705	6.053	6.788	7.655	8.187	8.578	9.207	9.652	10.578	12.487
266	-0.423	6.7837	0.17393	4.18	4.669	4.993	5.178	5.482	5.702	6.05	6.784	7.651	8.183	8.573	9.202	9.647	10.573	12.482
267	-0.4236	6.7798	0.17395	4.177	4.667	4.991	5.175	5.479	5.699	6.046	6.78	7.647	8.178	8.569	9.198	9.642	10.568	12.478
